index,Id,Name,Year,Gender,Count
222,1069675,Janet,1990,F,1281
223,1069676,Martha,1990,F,1266
224,1069677,Tracy,1990,F,1266
225,1069678,Cortney,1990,F,1261
226,1069679,Bailey,1990,F,1259
227,1069680,Ariana,1990,F,1254
228,1069681,Cassie,1990,F,1253
229,1069682,Brittani,1990,F,1220
230,1069683,Jasmin,1990,F,1218
231,1069684,Hilary,1990,F,1216
232,1069685,Kaylee,1990,F,1211
233,1069686,Cara,1990,F,1210
234,1069687,Adrienne,1990,F,1209
235,1069688,Allyson,1990,F,1198
236,1069689,Kristine,1990,F,1196
237,1069690,Pamela,1990,F,1195
238,1069691,Raquel,1990,F,1189
239,1069692,Tina,1990,F,1180
240,1069693,Gloria,1990,F,1179
241,1069694,Rosa,1990,F,1175
242,1069695,Camille,1990,F,1170
243,1069696,Michele,1990,F,1164
244,1069697,Tiara,1990,F,1161
245,1069698,Tasha,1990,F,1154
246,1069699,Mackenzie,1990,F,1150
247,1069700,Kristy,1990,F,1133
248,1069701,Ann,1990,F,1125
249,1069702,Sophia,1990,F,1125
250,1069703,Shawna,1990,F,1124
251,1069704,Tanya,1990,F,1118
252,1069705,Jessie,1990,F,1116
253,1069706,Latoya,1990,F,1116
254,1069707,Marisa,1990,F,1110
255,1069708,Kari,1990,F,1107
256,1069709,Carissa,1990,F,1105
257,1069710,Janelle,1990,F,1104
258,1069711,Mariah,1990,F,1102
259,1069712,Nina,1990,F,1101
260,1069713,Angelina,1990,F,1099
261,1069714,Deborah,1990,F,1094
262,1069715,Carla,1990,F,1090
263,1069716,Kellie,1990,F,1087
264,1069717,Elise,1990,F,1071
265,1069718,Hope,1990,F,1055
266,1069719,Hayley,1990,F,1052
267,1069720,Cierra,1990,F,1042
268,1069721,Kristi,1990,F,1041
269,1069722,Kate,1990,F,1035
270,1069723,Summer,1990,F,1022
271,1069724,Aimee,1990,F,1019
272,1069725,Chelsie,1990,F,1014
273,1069726,Sharon,1990,F,1008
274,1069727,Toni,1990,F,1005
275,1069728,Karla,1990,F,1001
276,1069729,Alissa,1990,F,997
277,1069730,Devon,1990,F,996
278,1069731,Misty,1990,F,996
279,1069732,Regina,1990,F,991
280,1069733,Jeanette,1990,F,989
281,1069734,Nikki,1990,F,984
282,1069735,Esther,1990,F,981
283,1069736,Miriam,1990,F,980
284,1069737,Tatiana,1990,F,979
285,1069738,Christy,1990,F,974
286,1069739,Charlotte,1990,F,959
287,1069740,Maggie,1990,F,958
288,1069741,Stefanie,1990,F,957
289,1069742,Tessa,1990,F,955
290,1069743,Ruby,1990,F,953
291,1069744,Gabriella,1990,F,945
292,1069745,Hailey,1990,F,945
293,1069746,Ciara,1990,F,944
294,1069747,Callie,1990,F,941
295,1069748,Faith,1990,F,940
296,1069749,Paula,1990,F,940
297,1069750,Aubrey,1990,F,936
298,1069751,Asia,1990,F,924
299,1069752,Naomi,1990,F,921
300,1069753,Jazmine,1990,F,916
301,1069754,Jazmin,1990,F,910
302,1069755,Carolina,1990,F,908
303,1069756,Tia,1990,F,908
304,1069757,Ruth,1990,F,906
305,1069758,Trisha,1990,F,905
306,1069759,Rose,1990,F,901
307,1069760,Kelley,1990,F,887
308,1069761,Robyn,1990,F,886
309,1069762,Jaime,1990,F,882
310,1069763,Michaela,1990,F,878
311,1069764,Kassandra,1990,F,873
312,1069765,Karissa,1990,F,871
313,1069766,Sonia,1990,F,867
314,1069767,Melody,1990,F,864
315,1069768,Christian,1990,F,863
316,1069769,Devin,1990,F,861
317,1069770,Donna,1990,F,861
318,1069771,Helen,1990,F,861
319,1069772,Brianne,1990,F,857
320,1069773,Kelsie,1990,F,856
321,1069774,Clarissa,1990,F,853
322,1069775,Lori,1990,F,852
323,1069776,Marina,1990,F,851
324,1069777,Adrianna,1990,F,850
325,1069778,Cecilia,1990,F,847
326,1069779,Shaniqua,1990,F,842
327,1069780,Guadalupe,1990,F,836
328,1069781,Rachelle,1990,F,834
329,1069782,Jill,1990,F,833
330,1069783,Ashton,1990,F,832
331,1069784,Cheyenne,1990,F,832
332,1069785,Annie,1990,F,820
333,1069786,Sylvia,1990,F,818
334,1069787,Taryn,1990,F,806
335,1069788,Roxanne,1990,F,802
336,1069789,Shayla,1990,F,799
337,1069790,Randi,1990,F,794
338,1069791,Isabel,1990,F,785
339,1069792,Leticia,1990,F,781
340,1069793,Mia,1990,F,780
341,1069794,Eva,1990,F,778
342,1069795,Hanna,1990,F,778
343,1069796,Katlyn,1990,F,778
344,1069797,Alice,1990,F,771
345,1069798,Jane,1990,F,771
346,1069799,Simone,1990,F,767
347,1069800,Elisabeth,1990,F,766
348,1069801,Carol,1990,F,764
349,1069802,Shana,1990,F,762
350,1069803,Frances,1990,F,759
351,1069804,Tierra,1990,F,756
352,1069805,Elena,1990,F,755
353,1069806,Antoinette,1990,F,753
354,1069807,Lacy,1990,F,753
355,1069808,Ericka,1990,F,749
356,1069809,Brittni,1990,F,746
357,1069810,Latasha,1990,F,741
358,1069811,Alyson,1990,F,740
359,1069812,Dawn,1990,F,740
360,1069813,Yvette,1990,F,739
361,1069814,Chantel,1990,F,738
362,1069815,Diane,1990,F,730
363,1069816,Shauna,1990,F,730
364,1069817,Tonya,1990,F,725
365,1069818,Liliana,1990,F,722
366,1069819,Lillian,1990,F,722
367,1069820,Meaghan,1990,F,722
368,1069821,Alana,1990,F,720
369,1069822,Suzanne,1990,F,715
370,1069823,Yvonne,1990,F,712
371,1069824,Christa,1990,F,706
372,1069825,Chasity,1990,F,704
373,1069826,Johanna,1990,F,699
374,1069827,Joy,1990,F,697
375,1069828,Kristie,1990,F,696
376,1069829,Rochelle,1990,F,696
377,1069830,Katelynn,1990,F,695
378,1069831,Bonnie,1990,F,694
379,1069832,Sandy,1990,F,694
380,1069833,Daniela,1990,F,690
381,1069834,Lorena,1990,F,690
382,1069835,Anastasia,1990,F,688
383,1069836,Lyndsey,1990,F,687
384,1069837,Irene,1990,F,685
385,1069838,Alma,1990,F,683
386,1069839,Tanisha,1990,F,681
387,1069840,Keri,1990,F,678
388,1069841,Leanna,1990,F,675
389,1069842,Marlene,1990,F,670
390,1069843,Yolanda,1990,F,669
391,1069844,Beth,1990,F,663
392,1069845,Blanca,1990,F,662
393,1069846,Charlene,1990,F,660
394,1069847,Maribel,1990,F,660
395,1069848,Nadia,1990,F,659
396,1069849,Keisha,1990,F,657
397,1069850,Celeste,1990,F,653
398,1069851,Maya,1990,F,651
399,1069852,Marisol,1990,F,650
400,1069853,Katharine,1990,F,647
401,1069854,Kourtney,1990,F,646
402,1069855,Larissa,1990,F,646
403,1069856,Anita,1990,F,642
404,1069857,Corinne,1990,F,642
405,1069858,Kendall,1990,F,642
406,1069859,Casandra,1990,F,641
407,1069860,Shaina,1990,F,639
408,1069861,Elaine,1990,F,631
409,1069862,Alysha,1990,F,630
410,1069863,Arianna,1990,F,629
411,1069864,Shayna,1990,F,628
412,1069865,Sheila,1990,F,626
413,1069866,Kayleigh,1990,F,619
414,1069867,Cheryl,1990,F,616
415,1069868,Tabatha,1990,F,614
416,1069869,Iris,1990,F,608
417,1069870,Brenna,1990,F,605
418,1069871,Chanel,1990,F,604
419,1069872,Stacie,1990,F,603
420,1069873,Elisa,1990,F,601
421,1069874,Kylee,1990,F,601
422,1069875,Mindy,1990,F,600
423,1069876,Tiana,1990,F,600
424,1069877,Esmeralda,1990,F,599
425,1069878,Dorothy,1990,F,596
426,1069879,Kyla,1990,F,596
427,1069880,Juliana,1990,F,595
428,1069881,Diamond,1990,F,591
429,1069882,Shanna,1990,F,589
430,1069883,Nora,1990,F,586
431,1069884,Marilyn,1990,F,582
432,1069885,Kierra,1990,F,581
433,1069886,Infant,1990,F,580
434,1069887,Josephine,1990,F,578
435,1069888,Kaila,1990,F,576
436,1069889,Kerri,1990,F,574
437,1069890,Christie,1990,F,573
438,1069891,Staci,1990,F,571
439,1069892,Bridgette,1990,F,569
440,1069893,Alaina,1990,F,567
441,1069894,Stephany,1990,F,564
442,1069895,Ciera,1990,F,559
443,1069896,Kali,1990,F,558
444,1069897,Julianne,1990,F,557
445,1069898,Kerry,1990,F,554
446,1069899,Jalisa,1990,F,553
447,1069900,Vivian,1990,F,552
448,1069901,Lucy,1990,F,550
449,1069902,Sally,1990,F,550
450,1069903,Tammy,1990,F,549
451,1069904,Precious,1990,F,547
452,1069905,Judith,1990,F,544
453,1069906,Debra,1990,F,543
454,1069907,Sadie,1990,F,541
455,1069908,Tiffani,1990,F,539
456,1069909,Kirstie,1990,F,537
457,1069910,Charity,1990,F,536
458,1069911,Alisa,1990,F,533
459,1069912,Margarita,1990,F,530
460,1069913,Eileen,1990,F,529
461,1069914,Krystle,1990,F,529
462,1069915,Noelle,1990,F,529
463,1069916,Mollie,1990,F,528
464,1069917,Francesca,1990,F,527
465,1069918,Mandy,1990,F,526
466,1069919,Tori,1990,F,526
467,1069920,Leigh,1990,F,522
468,1069921,Sheena,1990,F,522
469,1069922,Beatriz,1990,F,521
470,1069923,Cassidy,1990,F,521
471,1069924,Patrice,1990,F,521
472,1069925,Alanna,1990,F,520
473,1069926,Jodi,1990,F,518
474,1069927,Traci,1990,F,516
475,1069928,Ashlie,1990,F,514
476,1069929,Janice,1990,F,513
477,1069930,Joyce,1990,F,512
478,1069931,Natalia,1990,F,511
479,1069932,Desirae,1990,F,508
480,1069933,Jordyn,1990,F,508
481,1069934,Abbey,1990,F,507
482,1069935,Connie,1990,F,506
483,1069936,Darlene,1990,F,505
484,1069937,Genevieve,1990,F,501
485,1069938,India,1990,F,500
486,1069939,Maritza,1990,F,500
487,1069940,Blair,1990,F,499
488,1069941,Tania,1990,F,498
489,1069942,Mckenzie,1990,F,497
490,1069943,Britany,1990,F,496
491,1069944,Tracey,1990,F,496
492,1069945,Latisha,1990,F,495
493,1069946,Norma,1990,F,494
494,1069947,Tricia,1990,F,493
495,1069948,Kelsi,1990,F,492
496,1069949,Maureen,1990,F,491
497,1069950,Breanne,1990,F,488
498,1069951,Shantel,1990,F,486
499,1069952,Angelia,1990,F,484
500,1069953,Daniella,1990,F,483
501,1069954,Janae,1990,F,480
502,1069955,Kathy,1990,F,478
503,1069956,Zoe,1990,F,478
504,1069957,Serena,1990,F,477
505,1069958,Constance,1990,F,475
506,1069959,Jaimie,1990,F,475
507,1069960,Mariana,1990,F,473
508,1069961,Rosemary,1990,F,472
509,1069962,Shirley,1990,F,472
510,1069963,Annette,1990,F,470
511,1069964,Nicolette,1990,F,470
512,1069965,Sonya,1990,F,470
513,1069966,Katy,1990,F,469
514,1069967,Clara,1990,F,466
515,1069968,Lea,1990,F,465
516,1069969,Loren,1990,F,463
517,1069970,Kacie,1990,F,460
518,1069971,Kristyn,1990,F,459
519,1069972,Cristal,1990,F,458
520,1069973,Jami,1990,F,458
521,1069974,Alycia,1990,F,457
522,1069975,Beverly,1990,F,456
523,1069976,Jackie,1990,F,455
524,1069977,Lena,1990,F,452
525,1069978,Ryan,1990,F,451
526,1069979,Elyse,1990,F,449
527,1069980,Kira,1990,F,449
528,1069981,Gladys,1990,F,448
529,1069982,Juanita,1990,F,448
530,1069983,Kaleigh,1990,F,448
531,1069984,Laurel,1990,F,447
532,1069985,Isamar,1990,F,446
533,1069986,Leanne,1990,F,446
534,1069987,Tyler,1990,F,445
535,1069988,Ashly,1990,F,444
536,1069989,Justina,1990,F,444
537,1069990,Lara,1990,F,442
538,1069991,Mara,1990,F,442
539,1069992,Jacklyn,1990,F,440
540,1069993,Lesley,1990,F,440
541,1069994,Paris,1990,F,439
542,1069995,Kala,1990,F,438
543,1069996,Carina,1990,F,435
544,1069997,Breana,1990,F,433
545,1069998,Jana,1990,F,433
546,1069999,Rita,1990,F,433
547,1070000,Rocio,1990,F,433
548,1070001,Whitley,1990,F,432
549,1070002,Cayla,1990,F,431
