propertycode,Maximum,Minimum,Normalized Maximum
44707,299.31,45.4,0.015909528563112424
44710,167.27,98.55,0.008603020436531212
44715,146.77,32.73,0.0074686413347823865
44716,225.04,70.9,0.01179975608082534
44717,130.93,86.58,0.006592125970309149
44721,129.88,58.39,0.006534023626073233
44726,151.52,85.53,0.007731485272992481
44730,76.18,36.8,0.003562503735150701
44731,175.28,97.15,0.009046258319702337
44738,51.74,46.57,0.002210102503602345
44744,234.41,58.34,0.012318250333673461
44745,121.43,71.27,0.006066438093888961
44751,167.89,73.91,0.00863732848741337
44753,159.24,74.13,0.008158675842041305
44760,151.04,90.22,0.007704924201341775
44763,95.03,42.76,0.004605579153100231
44764,172.11,83.41,0.008870844575675814
44765,101.34,84.48,0.004954746574175112
44768,130.93,61.24,0.006592125970309149
44769,138.33,75.08,0.007001609158257506
44773,225.96,93.03,0.01185066480148919
44784,411.81,58.92,0.02213477973124622
44786,179.42,82.57,0.00927534756268966
44789,125.65,88.7,0.0062999541821514024
44801,209.07,70.01,0.010916047092780035
44802,268.21,61.77,0.014188592462410547
44808,105.59,68.64,0.005189922729415723
44812,185.85,55.97,0.00963115525167722
44825,153.1,73.91,0.007818915467176047
44828,161.56,90.28,0.00828705435501971
44969,277.32,177.23,0.014692699468114538
45005,188.27,85.76,0.00976506732124952
45032,68.64,52.8,0.003145273567970889
45041,87.63,78.14,0.004196095965151874
45042,567.12,103.91,0.030728946477227202
45046,346.13,285.55,0.01850033976037486
45056,349.61,135.63,0.01869290752984247
45059,200.02,68.31,0.010415260221032384
45070,83.63,42.87,0.003974753701396006
47814,175.71,68.63,0.009070052613056094
47816,185.86,90.99,0.00963170860733661
47890,248.14,123.54,0.013078007654015478
47902,130.93,70.91,0.006592125970309149
47907,128.83,47.16,0.006475921281837318
47913,110.34,44.35,0.005452766667625816
47919,153.1,110.87,0.007818915467176047
47930,131.99,73.91,0.006650781670204454
47939,178.45,79.88,0.009221672063728863
47955,1690.79,200.93,0.09290786185586634
47959,491.0,95.03,0.026516803197953024
47965,147.71,81.31,0.007520656766765016
47983,316.78,190.07,0.01687624090006618
47996,231.25,122.59,0.012143389945306325
48001,93.98,58.07,0.004547476808864315
48002,520.39,131.99,0.028143115480899265
48003,277.08,61.24,0.014679418932289185
48092,195.35,84.48,0.010156843128097406
48101,128.29,60.94,0.006446040076230275
48115,220.69,58.34,0.011559046368990833
48116,211.07,77.85,0.011026718224657969
48125,225.15,114.64,0.011805842993078627
48147,673.9,437.9,0.036637678208190104
48158,156.28,57.02,0.007994882566861964
48160,99.46,39.18,0.004850715710209854
48171,230.2,93.55,0.012085287601070409
48179,173.18,45.2,0.008930053631230507
48186,200.63,110.13,0.010449014916255153
48188,64.64,43.09,0.0029239313042150206
48197,229.13,106.65,0.012026078545515715
48203,109.82,94.08,0.005423992173337553
48206,424.46,288.98,0.022834774640374155
48208,678.84,158.67,0.03691103590392861
48210,321.34,140.91,0.01712857108074787
48223,434.31,201.89,0.02337982996487298
48233,84.48,63.36,0.004021788932444128
48259,156.28,69.48,0.007994882566861964
48274,189.01,115.1,0.009806015640044356
48296,138.51,59.13,0.0070115695601265186
48322,173.18,83.42,0.008930053631230507
48325,178.45,61.77,0.009221672063728863
48728,186.9,55.59,0.009689257595913136
48730,92.91,56.07,0.00448826775330962
48731,273.48,193.58,0.014480210894908906
48741,93.98,83.41,0.004547476808864315
48760,373.43,198.52,0.020011000710508663
48776,133.23,54.84,0.006719397771968772
48803,202.94,120.55,0.010576840073574166
48812,252.37,110.87,0.01331207709793731
48818,139.79,67.31,0.007082399084528396
48822,143.66,84.39,0.007296547724712199
48823,161.56,93.98,0.00828705435501971
48829,146.77,81.31,0.0074686413347823865
49361,150.58,100.76,0.007679469841009852
49364,282.86,80.3,0.014999258503416418
49397,399.44,178.47,0.021450278780581197
49421,313.46,134.59,0.016692526821148808
49441,277.82,156.88,0.014720367251084021
49448,115.67,70.23,0.005747705234080511
49531,139.64,72.33,0.007074098749637551
49541,835.45,185.78,0.04557713888563024
49553,141.65,50.64,0.007185323237174875
49565,2190.1,281.3,0.12053746328485197
49586,121.5,44.45,0.006070311583504689
49626,199.92,115.93,0.010409726664438486
49668,100.32,68.64,0.004898304296917366
49676,332.88,180.93,0.01776714351168355
49677,379.08,151.1,0.020323646658063826
49678,332.88,168.79,0.01776714351168355
49683,391.49,144.5,0.02101036103136641
49684,164.72,65.78,0.008461914743386846
50409,211.98,125.58,0.01107707358966243
50416,286.32,106.49,0.015190719561565242
50418,241.11,160.74,0.012688998625464541
50419,169.89,122.1,0.008747999619291305
50434,304.35,77.24,0.01618841981544482
50435,259.2,117.54,0.013690019013300454
50439,185.85,135.63,0.00963115525167722
50442,160.74,70.33,0.008241679190949756
50457,255.85,79.65,0.013504644867404915
50460,288.33,139.64,0.015301944049102565
50463,178.83,76.35,0.009242699578785672
50498,296.36,82.38,0.01574628864359247
50506,199.92,67.31,0.010409726664438486
50539,626.89,298.38,0.034036353253399265
50565,204.5,86.12,0.010663163556438955
50582,211.72,95.69,0.011062686342518299
50586,160.08,64.97,0.008205157717430038
50606,205.95,82.62,0.010743400127050457
50607,306.45,159.27,0.016304624503916648
50657,128.82,54.83,0.006475367926177928
50667,136.21,76.03,0.006884297758466895
50674,469.88,200.62,0.025348116045322038
50679,1544.88,49.42,0.08483384942971166
50703,192.85,101.26,0.010018504213249988
50710,101.84,52.48,0.004982414357144596
50749,162.9,112.53,0.008361204013377926
50752,335.08,124.7,0.017888881756749277
50753,222.03,108.59,0.011633196027349049
50766,174.38,71.98,0.008996456310357268
50828,207.96,101.8,0.010854624614587782
50861,211.59,85.39,0.011055492718946233
50890,111.32,107.45,0.005506995522246004
50967,315.72,162.61,0.016817585200170876
50974,204.85,54.9,0.010682531004517593
50978,215.86,101.04,0.011291775585505622
50981,319.47,83.66,0.017025093572442
50990,329.45,62.09,0.017577342520512892
51021,321.25,128.33,0.017123590879813362
51035,252.37,72.45,0.01331207709793731
51041,190.07,69.91,0.00986467133993966
51044,156.27,51.74,0.007994329211202574
51072,124.59,36.21,0.006241298482256097
51074,140.44,78.14,0.007118367202388724
51084,169.9,68.67,0.008748552974950695
51086,303.05,99.68,0.016116483579724162
51106,131.99,65.57,0.006650781670204454
51112,161.56,88.7,0.00828705435501971
51116,157.15,70.22,0.008043024509228865
51122,119.8,69.27,0.005976241121408444
51137,120.55,70.33,0.00601774279586267
51139,134.63,56.45,0.0067968675642833265
51147,95.8,52.95,0.004648187538873235
51150,162.35,106.81,0.008330769452111492
51151,60.72,35.0,0.0027070158857342695
51164,147.83,36.96,0.007527297034677692
51170,58.41,41.06,0.0025791907284152555
51172,309.81,95.03,0.01649055200547158
51192,310.13,160.84,0.01650825938657205
51223,203.49,111.0,0.0106072746348406
